recordNumber,dwc:genus,species,Day,Month,Year,Day.of.the.year
g2-297,pavonia,pavonia schimperiana hochst. ex a.rich.,8,6,2002,159
g2-95,pavonia,pavonia urens cav.,20,7,1999,201
g2-430,peddiea,peddiea fischeri engl.,31,10,2005,304
f-216,peddiea,peddiea harv. ex hook.,24,8,2010,236
7ddf754f-d193-4cc9-b351-99906754a03b,peddiea polyantha,peddiea polyantha gilg,30,10,2005,303
7ddf754f-d193-4cc9-b351-99906754a03b,,pellaea doniana hook.,1,7,1999,182
f-960,pellaea,pellaea doniana hook.,10,3,2006,69
f-825,pellaea,pellaea doniana hook.,10,5,1999,130
g2-291,pellaea,pellaea dura var. dura,31,5,2002,151
7ddf754f-d193-4cc9-b351-99906754a03b,,pellaea viridis var. canonica (kunze) verdc.,9,11,2005,313
f-1048,peltophorum,peltophorum pterocarpum (dc.) backer ex k. heyne,17,12,1998,351
g1-119,pennisetum,pennisetum polystachion subsp. atrichum (stapf & c.e. hubb.) brunken,10,6,1999,161
f-844,pentanisia,pentanisia monticola (k. krause) verdc.,3,4,1999,93
f-3,pentarrhinum,pentarrhinum abyssinicum subsp. angolense (n.e. br.) liede & nicholas,26,5,2002,146
f-731,pentas,pentas benth.,5,2,1999,36
f-1161,pentas,pentas benth.,5,11,2005,309
f-754,pentas,pentas zanzibarica (klotzsch) vatke,3,4,1999,93
f-95,pentas,pentas zanzibarica (klotzsch) vatke,3,4,1999,93
f-437,pentas,pentas zanzibarica (klotzsch) vatke,12,7,1999,193
g2-106,pentodon,pentodon pentandrus,7,5,1999,127
f-1154,pentodon,pentodon pentandrus vatke,14,1,1999,14
f-1145,pentodon,pentodon pentandrus vatke,14,1,1999,14
g2-7,pentodon,pentodon pentandrus vatke,11,3,2006,70
f-219,pentodon,pentodon pentandrus vatke,7,5,1999,127
f-945,pentodon,pentodon pentandrus vatke,20,10,1998,293
,pentodon pentandrus,pentodon pentandrus vatke,7,10,1998,280
t-175,peperomia,peperomia bangroana c. dc.,24,10,2005,297
f-1158,peperomia,peperomia bangroana c. dc.,28,11,1999,332
7ddf754f-d193-4cc9-b351-99906754a03b,peperomia molleri,peperomia molleri c. dc.,6,11,2005,310
g2-364,peperomia,peperomia molleri subsp. molleri,7,6,2002,158
g1-401,peperomia,peperomia molleri subsp. molleri,29,6,2002,180
7ddf754f-d193-4cc9-b351-99906754a03b,peperomia tetragona,peperomia ruiz & pav.,4,11,2005,308
g1-47,peperomia,peperomia ruiz & pav.,28,10,2005,301
g1-163,peperomia,peperomia ruiz & pav.,1,11,2005,305
g1-54,peperomia,peperomia ruiz & pav.,1,11,2005,305
f-998,peperomia,peperomia ruiz & pav.,1,11,2005,305
g2-181,peperomia,peperomia tetraphylla hook. & arn.,20,7,1999,201
t-75,peperomia,peperomia thomeana c. dc.,5,11,2005,309
g1-312,peponium,peponium vogelii (hook. f.) engl.,4,11,2005,308
f-382,peponium,peponium vogelii (hook. f.) engl.,26,12,1998,360
f-76,pergularia,pergularia daemia,5,9,1999,248
7ddf754f-d193-4cc9-b351-99906754a03b,,pergularia daemia (forssk.) chiov.,1,6,1999,152
7ddf754f-d193-4cc9-b351-99906754a03b,,pergularia daemia (forssk.) chiov.,5,9,1999,248
g2-420,pergularia,pergularia daemia (forssk.) chiov.,31,5,1999,151
f-277,pergularia,pergularia daemia (forssk.) chiov.,1,6,1999,152
f-292,periploca,periploca linearifolia quart.-dill. & a. rich.,22,7,1999,203
g1-140,persicaria,persicaria madagascariensis (meisn.) s. ortiz & paiva,9,8,1999,221
f-899,persicaria,persicaria madagascariensis (meisn.) s. ortiz & paiva,26,11,1999,330
g2-102,persicaria,persicaria meisneriana var. beyrichiana (cham. & schltdl.) c.c. freeman,10,12,1999,344
f-352,persicaria,persicaria senegalensis (meisn.) soják,2,1,1999,2
f-801,persicaria,persicaria senegalensis (meisn.) soják,20,4,2001,110
g1-77,peucedanum,peucedanum linderi c. norman,24,7,1999,205
g1-353,phaulopsis,phaulopsis imbricata (forssk.) sweet,28,11,1999,332
g1-332,phaulopsis,phaulopsis imbricata (forssk.) sweet,28,11,1999,332
f-224,phaulopsis,phaulopsis imbricata (forssk.) sweet,28,11,1999,332
7ddf754f-d193-4cc9-b351-99906754a03b,philenoptera eriocalyx,philenoptera bussei (harms) schrire,11,3,2006,70
7ddf754f-d193-4cc9-b351-99906754a03b,phoenix reclinata,phoenix reclinata jacq.,31,3,1996,91
g1-135,phyllanthus,phyllanthus capillaris schumach. & thonn.,14,1,1999,14
f-1218,phyllanthus,phyllanthus capillaris schumach. & thonn.,21,7,1999,202
t-90,phyllanthus,phyllanthus inflatus hutch.,26,10,2005,299
t-104,phyllanthus,phyllanthus l.,10,3,2006,69
f-853,phyllanthus,phyllanthus l.,10,3,2006,69
f-1051,phyllanthus,phyllanthus l.,11,3,2006,70
g2-345,phyllanthus,phyllanthus l.,27,10,2005,300
g2-192,phyllanthus,phyllanthus micromeris radcl.-sm.,30,1,1971,30
g1-382,phyllanthus,phyllanthus muellerianus (kuntze) exell,4,1,1999,4
g1-295,phyllanthus,phyllanthus muellerianus (kuntze) exell,4,2,1999,35
t-107,phyllanthus,phyllanthus muellerianus (kuntze) exell,12,4,1999,102
f-313,phyllanthus,phyllanthus muellerianus (kuntze) exell,20,10,1998,293
f-686,phyllanthus,phyllanthus muellerianus (kuntze) exell,9,11,2005,313
f-180,phyllanthus,phyllanthus nummulariifolius poir.,14,1,1999,14
f-181,phyllanthus,phyllanthus nummulariifolius poir.,19,7,1999,200
7ddf754f-d193-4cc9-b351-99906754a03b,phyllanthus nummulariifolius,phyllanthus nummulariifolius poir.,9,11,1998,313
,phyllanthus nummulariifolius,phyllanthus nummulariifolius poir.,9,11,2005,313
f-386,,phyllanthus pseudoniruri,28,11,1999,332
g2-52,phyllanthus,phyllanthus pseudoniruri müll. arg.,28,11,1999,332
,phyllanthus reticulatus,phyllanthus reticulatus poir.,16,1,1999,16
f-142,phyllanthus,phyllanthus ukagurensis radcl.-sm.,30,9,1900,273
f-102,phyllopentas,phyllopentas ulugurica (verdc.) kårehed & b. bremer,28,11,1999,332
7ddf754f-d193-4cc9-b351-99906754a03b,phyllopentas ulugurica,phyllopentas ulugurica (verdc.) kårehed & b. bremer,28,11,1999,332
f-1142,phymatosorus,phymatosorus scolopendria (burm. f.) pic. serm.,4,11,1999,308
7ddf754f-d193-4cc9-b351-99906754a03b,physalis peruviana,physalis peruviana l.,31,7,1999,212
f-312,undesignated,phytolaccaceae r. br.,20,10,1998,293
g2-498,pilea,pilea holstii engl.,15,10,2002,288
f-523,pilea,pilea rivularis wedd.,12,2,2000,43
g2-179,pilea,pilea rivularis wedd.,20,7,1999,201
g1-292,piper,piper capense,13,7,1999,194
,piper,piper capense,19,7,1999,200
f-22,piper,piper capense l. f.,3,11,1998,307
7ddf754f-d193-4cc9-b351-99906754a03b,piper,piper capense l. f.,13,7,1999,194
7ddf754f-d193-4cc9-b351-99906754a03b,piper,piper capense l. f.,19,7,1999,200
f-1094,pityrogramma,pityrogramma aurantiaca (hieron.) c. chr.,4,11,2005,308
f-353,platostoma,platostoma africanum p. beauv.,3,4,1999,93
7ddf754f-d193-4cc9-b351-99906754a03b,platostoma africanum,platostoma africanum p. beauv.,28,11,1999,332
g2-66,platostoma,platostoma denticulatum robyns,4,4,1999,94
7ddf754f-d193-4cc9-b351-99906754a03b,plectranthus bracteolatus,plectranthus bracteolatus,27,9,2001,270
f-673,plectranthus,plectranthus bracteolatus a.j. paton,8,9,1984,252
g2-16,plectranthus,plectranthus djalonensis (a. chev.) a.j. paton,2,11,2005,306
g2-119,plectranthus,plectranthus flaccidus (vatke) gürke,16,7,1999,197
f-291,plectranthus,plectranthus ingratus benth.,15,2,2000,46
7ddf754f-d193-4cc9-b351-99906754a03b,,plectranthus kapatensis (r.e. fr.) j.k. morton,12,11,1999,316
f-53,plectranthus,plectranthus laxiflorus benth.,4,4,1999,94
g2-158,plectranthus,plectranthus laxiflorus benth.,7,4,1999,97
g1-189,plectranthus,plectranthus leptophyllus (baker) a.j. paton,27,10,2005,300
f-1031,plectranthus,plectranthus l'hér.,4,11,2005,308
7ddf754f-d193-4cc9-b351-99906754a03b,plectranthus amboinensis,plectranthus l'hér.,29,10,2005,302
f-710,plectranthus,plectranthus luteus gürke,16,10,1998,289
f-672,plectranthus,plectranthus parvus oliv.,19,7,1999,200
f-279,plectranthus,plectranthus seretii (de wild.) vollesen,7,8,1999,219
7ddf754f-d193-4cc9-b351-99906754a03b,,plectranthus sp.,26,5,2002,146
g2-437,plectranthus,plectranthus triangularis a.j. paton,27,10,2005,300
f-1221,plectranthus,plectranthus trullatus a.j. paton,8,9,1984,252
f-170,plectranthus,plectranthus trullatus a.j. paton,23,9,2001,266
g2-14,pleiocarpa,pleiocarpa benth.,31,10,2005,304
f-994,pleiocarpa,pleiocarpa pycnantha (k. schum.) stapf,30,10,1905,303
7ddf754f-d193-4cc9-b351-99906754a03b,pleioceras orientale,pleioceras orientale vollesen,12,3,2006,71
f-920,pneumatopteris,pneumatopteris afra (christ) holttum,8,11,1997,312
t-21,undesignated,poaceae barnhart,27,10,2005,300
f-791,undesignated,podocarpaceae endl.,14,7,1999,195
f-1060,podocarpus,podocarpus henkelii stapf ex dallim. & a.b. jacks.,29,10,2005,302
g1-275,podocarpus,podocarpus latifolius (thunb.) r. br. ex mirb.,12,2,2000,43
g2-206,podocarpus,podocarpus latifolius (thunb.) r. br. ex mirb.,29,5,2002,149
g2-219,podocarpus,podocarpus latifolius (thunb.) r. br. ex mirb.,31,10,2005,304
,podocarpus latifolius,podocarpus latifolius (thunb.) r. br. ex mirb.,31,10,2005,304
f-90,podocarpus,podocarpus latifolius (thunb.) r.br. ex mirb.,4,9,2010,247
f-461,pollia,pollia bracteata,17,12,2003,351
7ddf754f-d193-4cc9-b351-99906754a03b,,pollia bracteata k. schum.,8,11,2005,312
g2-155,pollia,pollia condensata,11,2,2004,42
046bbc50-cae2-47ff-aa43-729fbf53f7c5,pollia condensata,pollia condensata,11,2,2004,42
f-479,pollia,pollia condensata,29,10,2003,302
t-147,pollia,pollia condensata c.b. clarke,4,4,1999,94
7ddf754f-d193-4cc9-b351-99906754a03b,pollia condensata,pollia condensata c.b. clarke,15,3,2006,74
g2-142,pollia,pollia condensata c.b.clarke,4,4,1999,94
g1-343,polyceratocarpus,polyceratocarpus  engl. & diels,30,11,2006,334
f-103,polyceratocarpus,polyceratocarpus  engl. & diels,30,11,2006,334
f-79,polyceratocarpus,polyceratocarpus  engl. & diels,30,11,2006,334
7ddf754f-d193-4cc9-b351-99906754a03b,polyceratocarpus,polyceratocarpus  engl. & diels,30,11,2006,334
f-151,polyceratocarpus,polyceratocarpus askhambryan-iringae a. r. marshall & d.m. johnson,30,5,2011,150
t-38,polyceratocarpus,polyceratocarpus askhambryan-iringae a. r. marshall & d.m. johnson,27,10,2005,300
f-30,polyceratocarpus,polyceratocarpus engl. & diels,8,6,2018,159
g2-243,polyceratocarpus,polyceratocarpus engl. & diels,20,6,2018,171
g2-309,polygala,polygala albida schinz,22,7,1999,203
f-533,polygala,polygala l.,16,7,1999,197
f-826,polygala,polygala virgata thunb.,22,7,1999,203
f-990,undesignated,polygalaceae hoffmanns. & link,4,4,1999,94
f-69,polysphaeria,polysphaeria dischistocalyx brenan,16,6,1995,167
g1-225,polysphaeria,polysphaeria dischistocalyx brenan,20,10,1998,293
g1-56,polysphaeria,polysphaeria dischistocalyx brenan,21,12,1998,355
7ddf754f-d193-4cc9-b351-99906754a03b,polysphaeria dischistocalyx,polysphaeria dischistocalyx brenan,4,9,1999,247
f-1052,polysphaeria,polysphaeria hook. f.,11,3,2006,70
g2-240,polysphaeria,polysphaeria hook. f.,9,6,2018,160
g2-536,polysphaeria,polysphaeria hook. f.,20,6,2018,171
